"T","rep","seed","logLik_gauss_K2","logLik_gauss_K3","logLik_mix_K2_M2","BIC_gauss_K2","BIC_gauss_K3","BIC_mix_K2_M2","delta_BIC_gauss_K3_minus_K2","delta_BIC_mix_K2_minus_gauss_K3","gaussian_BIC_favours_K3","enriched_BIC_favours_K2_mix","mix_state1_mean","mix_state2_mean","mix_state1_occ","mix_state2_occ"
500,30,26260640,-734.956788218028,-689.730592144626,-688.535534679462,1513.41583312501,1466.46569766716,1457.86097463841,-46.950135457849,-8.60472302875019,TRUE,TRUE,-0.364829921299454,3.81523709262903,0.421336248626297,0.578663751373703
500,31,26260641,-723.842832502449,-670.143503554112,-673.174899161573,1491.18792169385,1427.29152048613,1427.13970360263,-63.8964012077199,-0.151816883499123,TRUE,TRUE,-0.432775284031947,3.83224429604096,0.395492034309362,0.604507965690638
500,32,26260642,-750.530518290644,-692.494837060994,-693.539700276706,1544.56329327024,1471.9941874999,1467.8693058329,-72.569105770345,-4.12488166699791,TRUE,TRUE,-0.491779532872381,3.83637218854088,0.498049287501831,0.50195071249817
500,33,26260643,-758.375626695658,-698.83454193553,-698.389818119084,1560.25351008027,1484.67359724897,1477.56954151766,-75.5799128313013,-7.10405573131402,TRUE,TRUE,-0.514128981584665,3.74020174031257,0.461876201845924,0.538123798154076
500,34,26260644,-689.711905362431,-686.699030921937,-641.448794788302,1422.92606741382,1460.40257522178,1363.68749485609,37.4765078079661,-96.7150803656912,FALSE,TRUE,-0.496530391295802,3.82209315995697,0.257636298092718,0.742363701907282
500,35,26260645,-685.62708999007,-661.248904029957,-663.293674103771,1414.7564366691,1409.50232143783,1407.37725348703,-5.25411523127059,-2.12506795079366,TRUE,TRUE,-0.601983676942248,3.7577302640512,0.247665384224096,0.752334615775903
500,36,26260646,-743.560512339229,-676.445275767972,-677.042368087702,1530.62328136741,1439.89506491386,1434.87464145489,-90.7282164535584,-5.02042345896257,TRUE,TRUE,-0.396433758684491,3.80189489640347,0.470053408116603,0.529946591883397
500,37,26260647,-735.313806164471,-695.500254390296,-698.606278560901,1514.1298690179,1478.0050221585,1478.00246240129,-36.1248468593942,-0.00255975721142931,TRUE,TRUE,-0.696749557211464,3.73981564527666,0.389895860273401,0.610104139726599
500,38,26260648,-656.472104520932,-632.099128749511,-630.546640275351,1356.44646573082,1351.20277087693,1341.88318583019,-5.24369485388524,-9.31958504674253,TRUE,TRUE,-0.251153530197737,3.77980780760547,0.217422849673228,0.782577150326773
500,39,26260649,-696.645422482926,-624.197801655266,-624.227481638473,1436.79310165481,1335.40011668844,1329.24486855643,-101.392984966364,-6.15524813200955,TRUE,TRUE,-0.606811011339546,3.80665931588346,0.391874869966663,0.608125130033338
500,40,26260650,-725.141113150438,-689.274839807579,-687.74031445598,1493.78448298983,1465.55419299307,1456.27053419145,-28.2302899967638,-9.28365880162028,TRUE,TRUE,-0.428730147267433,3.82907445554469,0.334188548160098,0.665811451839903
500,41,26260651,-621.265479791847,-589.518707722627,-590.073412007337,1286.03321627265,1266.04192882316,1260.93672929416,-19.9912874494864,-5.10519952900063,TRUE,TRUE,-0.466958550168743,3.80971617212194,0.229120858200745,0.770879141799254
500,42,26260652,-751.8843937548,-701.300328499743,-700.447462553187,1547.27104419855,1489.6051703774,1481.68483038586,-57.6658738211572,-7.92033999153546,TRUE,TRUE,-0.458315539958115,3.82124993145555,0.449661395690343,0.550338604309657
500,43,26260653,-678.372901381838,-629.725261387898,-627.543013550547,1400.24805945263,1346.45503615371,1335.87593238058,-53.7930232989263,-10.5791037731242,TRUE,TRUE,-0.573389453162282,3.73298259370591,0.40999152654939,0.59000847345061
500,44,26260654,-765.534406656223,-699.661743810244,-700.079999462446,1574.5710700014,1486.3280009984,1480.94990420438,-88.2430690030014,-5.37809679401789,TRUE,TRUE,-0.520296516172266,3.80130276174315,0.470108790393504,0.529891209606496
500,45,26260655,-756.881670176589,-693.210204440544,-696.140208902219,1557.26559704213,1473.424922259,1473.07032308393,-83.8406747831359,-0.354599175071826,TRUE,TRUE,-0.502058586935005,3.78477726883926,0.518007373873554,0.481992626126446
