"Package","Version","Built"
"ini","0.3.1","4.5.0"
"inline","0.3.21","4.5.0"
"insight","1.3.1","4.5.0"
"intergraph","2.0-4","4.5.0"
"interp","1.1-6","4.5.0"
"ipred","0.9-15","4.5.0"
"irlba","2.3.5.1","4.5.0"
"ISLR","1.4","4.5.0"
"isoband","0.2.7","4.5.0"
"ISOcodes","2025.05.18","4.5.0"
"isotree","0.6.1-4","4.5.0"
"iterators","1.0.14","4.5.0"
"ivreg","0.6-5","4.5.0"
"janeaustenr","1.0.0","4.5.0"
"janitor","2.2.1","4.5.0"
"jose","1.2.1","4.5.0"
"jpeg","0.1-11","4.5.0"
"jquerylib","0.1.4","4.5.0"
"jsonify","1.2.3","4.5.2"
"jsonlite","2.0.0","4.5.0"
"juicyjuice","0.1.0","4.5.0"
"kableExtra","1.4.0","4.5.0"
"kernlab","0.9-33","4.5.0"
"KernSmooth","2.23-26","4.5.0"
"knitr","1.51","4.5.2"
"ks","1.15.1","4.5.0"
"labeling","0.4.3","4.5.0"
"labelled","2.14.1","4.5.0"
"languageserver","0.3.16","4.5.0"
"lars","1.3","4.5.0"
"later","1.4.2","4.5.0"
"lattice","0.22-9","4.5.2"
"latticeExtra","0.6-30","4.5.0"
"lava","1.8.1","4.5.0"
"lavaan","0.6-19","4.5.0"
"lazyeval","0.2.2","4.5.0"
"leafem","0.2.5","4.5.0"
"leafgl","0.2.2","4.5.0"
"leaflegend","1.2.1","4.5.0"
"leaflet","2.2.2","4.5.0"
"leaflet.extras","2.0.1","4.5.0"
"leaflet.extras2","1.3.2","4.5.0"
"leaflet.minicharts","0.6.3","4.5.0"
"leaflet.providers","2.0.0","4.5.0"
"leafpop","0.1.0","4.5.0"
"leafsync","0.1.0","4.5.0"
"learnr","0.11.5","4.5.0"
"legendry","0.2.4","4.5.0"
"lgr","0.5.0","4.5.0"
"lhs","1.2.0","4.5.0"
"lifecycle","1.0.5","4.5.2"
"lintr","3.2.0","4.5.0"
"listenv","0.9.1","4.5.0"
"litedown","0.7","4.5.0"
"lme4","1.1-37","4.5.0"
"lmerTest","3.1-3","4.5.0"
"lmtest","0.9-40","4.5.0"
"logger","0.4.0","4.5.0"
"loo","2.8.0","4.5.0"
"lpSolve","5.6.23","4.5.0"
"lubridate","1.9.4","4.5.0"
"lwgeom","0.2-15","4.5.2"
"magick","2.9.0","4.5.0"
"magrittr","2.0.4","4.5.0"
"manipulate","1.0.1","4.5.0"
"mapproj","1.2.12","4.5.0"
"maps","3.4.3","4.5.0"
"maptiles","0.11.0","4.5.2"
"mapview","2.11.4","4.5.0"
"markdown","2.0","4.5.0"
"MASS","7.3-65","4.5.0"
"mathjaxr","1.8-0","4.5.0"
"Matrix","1.7-3","4.5.0"
"MatrixExtra","0.1.15","4.5.0"
"MatrixModels","0.5-4","4.5.0"
"matrixStats","1.5.0","4.5.0"
"mclogit","0.9.6","4.5.0"
"mclust","6.1.1","4.5.0"
"mdsr","0.2.8","4.5.0"
"memisc","0.99.31.8.3","4.5.0"
"memoise","2.0.1","4.5.0"
"messy","0.1.0.9000","4.5.0"
"metadat","1.4-0","4.5.0"
"metafor","4.8-0","4.5.0"
"methods","4.5.0","4.5.0"
"mgcv","1.9-3","4.5.0"
"microbenchmark","1.5.0","4.5.0"
"mime","0.13","4.5.0"
"miniUI","0.1.2","4.5.0"
"minqa","1.2.8","4.5.0"
"misc3d","0.9-2","4.5.2"
"mitools","2.4","4.5.0"
"mixR","0.2.1","4.5.0"
"mlapi","0.1.1","4.5.0"
"mlogit","1.1-3","4.5.0"
"mnormt","2.1.1","4.5.0"
"modelbased","0.12.0","4.5.0"
"modeldata","1.4.0","4.5.0"
"modelenv","0.2.0","4.5.0"
"modelr","0.1.11","4.5.0"
"modeltools","0.2-24","4.5.0"
"moments","0.14.1","4.5.0"
"momentuHMM","1.5.8","4.5.2"
"move","4.2.6","4.5.0"
"moveHMM","1.10","4.5.0"
"movMF","0.2-9","4.5.0"
"multicool","1.0.1","4.5.0"
"multimode","1.5","4.5.0"
"mvtnorm","1.3-3","4.5.0"
"nabor","0.5.0","4.5.0"
"nestedLogit","0.3.2","4.5.0"
"network","1.19.0","4.5.0"
"nleqslv","3.3.5","4.5.0"
"nlme","3.1-168","4.5.0"
"nloptr","2.2.1","4.5.0"
"nnet","7.3-20","4.5.0"
"nonnest2","0.5-8","4.5.0"
"nullabor","0.3.15","4.5.0"
"numDeriv","2016.8-1.1","4.5.0"
"nycflights23","0.2.0","4.5.0"
"oce","1.8-3","4.5.0"
"odbc","1.6.4.1","4.5.2"
"officer","0.6.10","4.5.0"
"opdisDownsampling","1.0.1","4.5.0"
