"ID","floor","fraction","n_train","model","log_likelihood","n_parameters","BIC","converged","relative_gain","iterations","n_modes","modes","floor_hits","min_transition","max_self","refined_within_001","refined_total"
"elk-163",0.05,0.8,126,"M22",-29.7154139972045,13,122.302492784778,TRUE,8.26218660760138e-09,80,3,"0.06596;0.56076;1.90767",1,0.286568840323467,0.713431159676533,20,20
"elk-163",0.05,0.8,126,"G2",-48.7813096008035,7,131.416592550267,TRUE,4.22138047320611e-09,13,2,"0.09633;1.32014",0,0.304032646346803,0.695967353653197,20,20
"elk-163",0.05,0.8,126,"G3",-28.9272061655489,14,125.562359028418,TRUE,7.12778391198599e-09,42,2,"0.07439;1.74273",1,4.59295849993577e-11,0.779582755584233,21,21
"elk-163",0.05,0.8,126,"G4",-18.2507895645947,23,147.736062989073,TRUE,7.51200899215363e-09,49,3,"0.07831;0.72817;2.06555",1,6.33139823887646e-12,0.79966222714834,21,21
"elk-287",0.05,0.8,130,"M21",-27.2393130951252,10,103.153970694806,TRUE,1.56034916416598e-09,131,3,"0.13487;0.6104;1.72834",0,0.146644364262179,0.853355635737821,20,20
"elk-287",0.05,0.8,130,"M22",-13.1630736490367,13,89.604095153996,TRUE,1.88081698041091e-09,8,3,"0.10837;0.60518;1.62925",0,0.0298165164838187,0.970183483516181,1,20
"elk-287",0.05,0.8,130,"G2",-42.6778433694565,7,119.428427892102,TRUE,3.86124863499331e-10,4,2,"0.13255;1.29288",0,0.283990511041129,0.716009488958871,20,20
"elk-287",0.05,0.8,130,"G3",-18.3645513228619,14,104.874584952102,TRUE,2.16293687675976e-09,12,2,"0.1087;1.55779",0,3.5792693247225e-12,0.962030680153588,20,21
"elk-287",0.05,0.8,130,"G4",-3.19076540173985,23,118.334823163958,TRUE,2.01751834068995e-09,26,4,"0.09049;0.20554;0.60932;1.62133",1,2.32527767875128e-12,0.641474794066084,21,21
"elk-363",0.05,0.8,173,"M21",-54.470058750939,10,160.473033446856,TRUE,8.01865118493594e-09,64,3,"0.17334;0.47983;1.47075",0,0.212537020610235,0.787462979389765,1,20
"elk-363",0.05,0.8,173,"M22",-49.8079676050305,13,166.608725938532,TRUE,6.72371010756835e-09,48,4,"0.18238;0.50246;0.8051;1.75449",0,0.212674610720926,0.787325389279074,5,20
"elk-363",0.05,0.8,173,"G2",-72.8401014784844,7,181.753244118453,TRUE,3.1104105906634e-09,9,2,"0.27128;1.25476",0,0.233457036457548,0.766542963542452,20,20
"elk-363",0.05,0.8,173,"G3",-52.2147504414779,14,176.575583205925,TRUE,6.45250972647395e-09,24,3,"0.16958;0.45927;1.49319",0,0.127353035173734,0.65146271252437,21,21
"elk-363",0.05,0.8,173,"G4",-40.025396337283,23,198.576499348015,TRUE,7.93430608274351e-09,81,3,"0.18223;0.50378;0.89532",0,4.47171905211015e-12,0.604453423627206,1,21
