"ID","floor","fraction","n_train","model","state","component","mean","sd","weight","occupation","self_transition"
"elk-287",0.05,1,163,"G4",3,1,0.618172443298659,0.0831089048229526,1,0.0701436748127875,0.318280168265072
"elk-287",0.05,1,163,"G4",4,1,1.65782074498695,0.705318954067697,1,0.212550149873899,0.623760965707909
"elk-363",0.05,1,217,"M21",1,1,0.458803521985965,0.237730014754146,1,0.317453365216965,0.856831122787856
"elk-363",0.05,1,217,"M21",2,1,0.138730658816164,0.0922750657455877,0.704755359516117,0.682546634783035,0.939656513191016
"elk-363",0.05,1,217,"M21",2,2,1.37710392151185,0.613008584252911,0.295244640483883,0.682546634783035,0.939656513191016
"elk-363",0.05,1,217,"M22",1,1,0.345042560149937,0.171422272473832,0.752904820059965,0.495452100783471,0.891991186100225
"elk-363",0.05,1,217,"M22",1,2,0.927226904296504,0.34665093925218,0.247095179940035,0.495452100783471,0.891991186100225
"elk-363",0.05,1,217,"M22",2,1,0.118867094438954,0.0822243880727691,0.763556275063191,0.504547899216529,0.902019741969842
"elk-363",0.05,1,217,"M22",2,2,1.69220060438163,0.50984753868814,0.236443724936809,0.504547899216529,0.902019741969842
"elk-363",0.05,1,217,"G2",1,1,0.153877052598245,0.0989250711011432,1,0.552472792909336,0.689571505983608
"elk-363",0.05,1,217,"G2",2,1,0.904703685085323,0.61854291196358,1,0.447527207090664,0.609893416883892
"elk-363",0.05,1,217,"G3",1,1,0.12668567957634,0.0864545890383293,1,0.400523096942549,0.804125403639513
"elk-363",0.05,1,217,"G3",2,1,0.381682935089057,0.208592380560056,1,0.390324611708322,0.800850341112021
"elk-363",0.05,1,217,"G3",3,1,1.38737659560525,0.579178045678315,1,0.209152291349129,0.362201671709695
"elk-363",0.05,1,217,"G4",1,1,0.00899687801243079,0.05,1,0.0501994971545059,0.999999999964513
"elk-363",0.05,1,217,"G4",2,1,0.146173363533587,0.0792507832477348,1,0.382297232617026,0.73675221006613
"elk-363",0.05,1,217,"G4",3,1,0.404217572808895,0.210886608260737,1,0.361863686594945,0.786767657306677
"elk-363",0.05,1,217,"G4",4,1,1.39703119952628,0.578668905848706,1,0.205639583633524,0.370912300933578
"elk-115",0.1,1,193,"M21",1,1,0.460405386188526,0.243403023181745,1,0.502796324123914,0.964357152843951
"elk-115",0.1,1,193,"M21",2,1,0.0987088471617021,0.1,0.4021738222451,0.497203675876086,0.963449387893141
"elk-115",0.1,1,193,"M21",2,2,1.11002475756725,0.697466647240454,0.5978261777549,0.497203675876086,0.963449387893141
"elk-115",0.1,1,193,"M22",1,1,0.110417540666811,0.1,0.329170350302952,0.838520830306514,0.90258723906591
"elk-115",0.1,1,193,"M22",1,2,0.515166026580177,0.225716551301659,0.670829649697048,0.838520830306514,0.90258723906591
"elk-115",0.1,1,193,"M22",2,1,1.28920180506352,0.214197392383163,0.68868411187695,0.161479169693485,0.465189356214677
"elk-115",0.1,1,193,"M22",2,2,2.33820906713746,0.224934801742922,0.31131588812305,0.161479169693485,0.465189356214677
"elk-115",0.1,1,193,"G2",1,1,0.371957949355779,0.265079000636844,1,0.788216772873815,0.88830006020291
"elk-115",0.1,1,193,"G2",2,1,1.35983413691558,0.669147436475736,1,0.211783227126185,0.562731189149899
"elk-115",0.1,1,193,"G3",1,1,0.100167987466925,0.1,1,0.200390099773037,0.654440296576434
"elk-115",0.1,1,193,"G3",2,1,0.458763612957779,0.240085970350769,1,0.493508672742173,0.969787986256637
"elk-115",0.1,1,193,"G3",3,1,1.09342071798039,0.696997340497543,1,0.30610122748479,0.762948658169962
"elk-115",0.1,1,193,"G4",1,1,0.0568314892262129,0.1,1,0.14722303271059,0.604288150809881
"elk-115",0.1,1,193,"G4",2,1,0.323207825816324,0.165281733785906,1,0.437163973633742,0.716085792911694
"elk-115",0.1,1,193,"G4",3,1,0.783062166729912,0.293229618562906,1,0.31561566798665,0.640139030736231
"elk-115",0.1,1,193,"G4",4,1,1.84367084110256,0.561749922626501,1,0.0999973256690177,0.629176174551295
"elk-163",0.1,1,158,"M21",1,1,0.105792976536574,0.1,0.794391418784517,0.783840251250333,0.837697370394417
"elk-163",0.1,1,158,"M21",1,2,0.461117730619693,0.211980741903926,0.205608581215483,0.783840251250333,0.837697370394417
"elk-163",0.1,1,158,"M21",2,1,1.80412631446141,0.654641335131288,1,0.216159748749667,0.386939347389802
"elk-163",0.1,1,158,"M22",1,1,0.102920446587776,0.1,0.882298489632546,0.630775800048389,0.923247255588874
"elk-163",0.1,1,158,"M22",1,2,2.15072798311484,0.439637059830183,0.117701510367454,0.630775800048389,0.923247255588874
"elk-163",0.1,1,158,"M22",2,1,0.356208421209526,0.230351558698869,0.591294496829509,0.369224199951611,0.854485842664187
"elk-163",0.1,1,158,"M22",2,2,1.56026248700209,0.705717586040357,0.408705503170491,0.369224199951611,0.854485842664187
"elk-163",0.1,1,158,"G2",1,1,0.116306941605781,0.1,1,0.655539577381558,0.774489989553092
"elk-163",0.1,1,158,"G2",2,1,1.31779709416268,0.828080041692632,1,0.344460422618442,0.556680997492395
"elk-163",0.1,1,158,"G3",1,1,0.103704119634833,0.1,1,0.537882632848358,0.842143068269195
"elk-163",0.1,1,158,"G3",2,1,0.354793056171914,0.25068699054658,1,0.255531902712577,0.68625777875878
"elk-163",0.1,1,158,"G3",3,1,1.85746686054466,0.617393089754096,1,0.206585464439065,0.360904710547166
"elk-163",0.1,1,158,"G4",1,1,0.107489220920738,0.1,1,0.542379602195913,0.853847185812627
"elk-163",0.1,1,158,"G4",2,1,0.218588911526024,0.16414940671155,1,0.165729101530866,0.460565646022026
"elk-163",0.1,1,158,"G4",3,1,0.689624188906994,0.262980950408232,1,0.112608652426233,0.131491629427576
"elk-163",0.1,1,158,"G4",4,1,1.99676575819269,0.530313603178131,1,0.179282643846988,0.336790121466513
"elk-287",0.1,1,163,"M21",1,1,0.141143641425639,0.1,0.767712735312774,0.80017914464004,0.890488868915889
"elk-287",0.1,1,163,"M21",1,2,0.522420258814931,0.120689815128083,0.232287264687226,0.80017914464004,0.890488868915889
"elk-287",0.1,1,163,"M21",2,1,1.72936244854808,0.664733570001197,1,0.19982085535996,0.564854546300262
"elk-287",0.1,1,163,"M22",1,1,0.180321715393555,0.1,0.640116094609657,0.440952664663012,0.99999999999828
"elk-287",0.1,1,163,"M22",1,2,0.501883816062738,0.116952452512326,0.359883905390343,0.440952664663012,0.99999999999828
