"ID","floor","fraction","n_train","model","stage","start","log_likelihood","iterations","relative_gain","converged","minimum_transition","maximum_self_transition","floor_hits"
"elk-115",0.025,1,193,"M21","screen",95,-96.6046394125437,70,0.000256363794680529,FALSE,0.0456763894766509,0.954323610523349,0
"elk-115",0.025,1,193,"M21","screen",96,-89.9478446948342,16,5.74841621291202e-05,FALSE,0.110633931609195,0.889366068390805,0
"elk-115",0.025,1,193,"M21","screen",97,-88.9485936267054,30,5.77245763361348e-05,FALSE,0.110998938507902,0.889001061492098,0
"elk-115",0.025,1,193,"M21","screen",98,-89.9921210343583,23,8.23379346340112e-05,FALSE,0.107570355766472,0.892429644233528,0
"elk-115",0.025,1,193,"M21","screen",99,-89.9899737213323,27,7.81824663037533e-05,FALSE,0.107529898059999,0.892470101940001,0
"elk-115",0.025,1,193,"M21","screen",100,-88.9509650957707,21,5.14727436216985e-05,FALSE,0.114229943959218,0.885770056040782,0
"elk-115",0.025,1,193,"M21","screen",101,-89.9736926320254,15,7.27929899428868e-05,FALSE,0.109491383347297,0.890508616652703,0
"elk-115",0.025,1,193,"M21","screen",102,-89.9815977771449,61,7.64583678491756e-05,FALSE,0.104526620603494,0.895473379396506,0
"elk-115",0.025,1,193,"M21","screen",103,-89.9267093197301,13,4.02907278738424e-05,FALSE,0.105140993735211,0.894859006264789,0
"elk-115",0.025,1,193,"M21","screen",104,-89.9875657148478,28,7.32250299121122e-05,FALSE,0.106939210654915,0.893060789345085,0
"elk-115",0.025,1,193,"M21","screen",105,-89.9716206119876,19,7.16881990655322e-05,FALSE,0.103685017516862,0.896314982483138,0
"elk-115",0.025,1,193,"M21","screen",106,-89.9915277399698,26,8.17773869887226e-05,FALSE,0.107777920096646,0.892222079903355,0
"elk-115",0.025,1,193,"M21","screen",107,-88.9513396253004,16,5.37711366964715e-05,FALSE,0.114264822195354,0.885735177804646,0
"elk-115",0.025,1,193,"M21","screen",108,-89.9785036802774,17,6.88573107124081e-05,FALSE,0.108996960509735,0.891003039490265,0
"elk-115",0.025,1,193,"M21","screen",109,-89.9854927937389,24,7.19057435928257e-05,FALSE,0.106003177866674,0.893996822133326,0
"elk-115",0.025,1,193,"M21","screen",110,-89.9793937290201,20,6.84442294454396e-05,FALSE,0.108465790202575,0.891534209797425,0
"elk-115",0.025,1,193,"M21","screen",111,-89.9906867785709,23,7.97630154708742e-05,FALSE,0.10761314865899,0.89238685134101,0
"elk-115",0.025,1,193,"M21","screen",112,-88.9532156919589,15,6.51716389985227e-05,FALSE,0.114609270709558,0.885390729290442,0
"elk-115",0.025,1,193,"M21","screen",113,-89.9412958470987,16,6.21255644303556e-05,FALSE,0.111082284890092,0.888917715109908,0
"elk-115",0.025,1,193,"M21","screen",114,-89.9532728997436,16,5.64422923472266e-05,FALSE,0.11029127503318,0.88970872496682,0
"elk-115",0.025,1,193,"M21","screen",115,-89.9896043138377,26,7.93532146544458e-05,FALSE,0.106026735581153,0.893973264418847,0
"elk-115",0.025,1,193,"M21","screen",116,-89.932816448011,10,2.06724113734131e-05,FALSE,0.106318128464845,0.893681871535155,0
"elk-115",0.025,1,193,"M21","screen",117,-89.990044331485,51,7.80855331097967e-05,FALSE,0.106674904965244,0.893325095034756,0
"elk-115",0.025,1,193,"M21","screen",118,-89.7501558200672,62,5.93772315156286e-05,FALSE,0.037008448836024,0.962991551163976,0
"elk-115",0.025,1,193,"M21","screen",119,-89.9729995765545,17,6.62300542802707e-05,FALSE,0.109455589708803,0.890544410291197,0
"elk-115",0.025,1,193,"M21","screen",120,-89.989826390238,32,7.92443096754707e-05,FALSE,0.10614750912617,0.89385249087383,0
"elk-115",0.025,1,193,"M21","screen",121,-89.9917127180533,37,8.11327459440383e-05,FALSE,0.106713520577028,0.893286479422972,0
