"T","rep","seed","logLik_gauss_K2_old","logLik_gauss_K3_old","logLik_mix_K2_M2_old","BIC_gauss_K2_old","BIC_gauss_K3_old","BIC_mix_K2_M2_old","delta_BIC_gauss_K3_minus_K2_old","delta_BIC_mix_K2_minus_gauss_K3_old","gaussian_BIC_favours_K3_old","enriched_BIC_favours_K2_mix_old","mix_state1_mean_old","mix_state2_mean_old","mix_state1_occ_old","mix_state2_occ_old","logLik_gauss_K2_new","logLik_gauss_K3_new","logLik_mix_K2_M2_new","BIC_gauss_K2_new","BIC_gauss_K3_new","BIC_mix_K2_M2_new","delta_BIC_gauss_K3_minus_K2_new","delta_BIC_mix_K2_minus_gauss_K3_new","gaussian_BIC_favours_K3_new","enriched_BIC_favours_K2_mix_new","mix_state1_mean_new","mix_state2_mean_new","mix_state1_occ_new","mix_state2_occ_new"
1500,131,36260741,-2199.55139264026,-2047.7342473487,-2047.76741942249,4450.29532799016,4197.85358011666,4190.60670387716,-252.441747873495,-7.24687623950558,TRUE,TRUE,-0.533481414645544,3.80946268031025,0.438260202426229,0.561739797573771,-2199.55139264026,-2047.73404285411,-2047.74529837104,4450.29532799016,4197.85317112749,4190.56246177426,-252.442156862665,-7.29070935323307,TRUE,TRUE,-0.53352195762475,3.80943111124864,0.438248891766619,0.561751108233381
1500,132,36260742,-2185.21927919855,-2048.10861191178,-2046.98729262018,4421.63110110672,4198.60230924282,4189.04645027254,-223.0287918639,-9.55585897028868,TRUE,TRUE,-0.525464382092881,3.80178107736957,0.418386903647162,0.581613096352837,-2185.21927919854,-2048.10793880072,-2046.97501226646,4421.63110110671,4198.6009630207,4189.02188956509,-223.030138086008,-9.57907345561398,TRUE,TRUE,-0.525405219275465,3.80182488767741,0.418399247033804,0.581600752966196
1500,133,36260743,-2075.19726768548,-1972.26008968396,-1973.73520380849,4201.58707808059,4046.90526478718,4042.54227264915,-154.681813293411,-4.36299213803386,TRUE,TRUE,-0.391151544561243,3.79957173339358,0.304705878328155,0.695294121671845,-2075.19726768509,-1972.25969659242,-1973.72099046017,4201.58707807982,4046.9044786041,4042.51384595252,-154.682599475717,-4.39063265158347,TRUE,TRUE,-0.391035555885035,3.79961150786456,0.304720120755937,0.695279879244064
1500,134,36260744,-2170.11565272442,-2013.85988096235,-2014.48194033991,4391.42384815846,4130.10484734397,4124.03574571199,-261.319000814492,-6.06910163198245,TRUE,TRUE,-0.553139254444688,3.75409488123908,0.414093424776177,0.585906575223823,-2170.11565272442,-2013.85973518169,-2014.47539074622,4391.42384815846,4130.10455578264,4124.02264652461,-261.319292375823,-6.08190925803137,TRUE,TRUE,-0.553236191666314,3.75403330072403,0.414077530277313,0.585922469722687
1500,135,36260745,-2198.48557000867,-2037.12532502436,-2039.84596045049,4448.16368272697,4176.63573546799,4174.76378593316,-271.527947258987,-1.87194953482958,TRUE,TRUE,-0.58578961022173,3.80282324210994,0.426804578542179,0.573195421457821,-2198.48557000827,-2037.12527957093,-2038.55590065243,4448.16368272618,4176.63564456112,4172.18366633704,-271.52803816506,-4.45197822408227,TRUE,TRUE,-0.585502524525522,3.80301316962611,0.426856619792713,0.573143380207287
1500,136,36260746,-2234.95357917754,-2084.24357396504,-2084.42079303326,4521.09970106471,4270.87223334935,4263.91345109869,-250.227467715361,-6.95878225066645,TRUE,TRUE,-0.420188691066719,3.78984728625762,0.435756690951153,0.564243309048847,-2234.95357917737,-2084.24341222239,-2084.40916439259,4521.09970106437,4270.87190986404,4263.89019381736,-250.227791200329,-6.98171604667732,TRUE,TRUE,-0.420119862406758,3.78991037023304,0.435773625216622,0.564226374783378
1500,137,36260747,-2153.53285430893,-2019.72481476698,-2018.39299585091,4358.2582513275,4141.83471495323,4131.85785673399,-216.423536374265,-9.97685821924188,TRUE,TRUE,-0.557016600427442,3.82350677633232,0.410531325054809,0.589468674945191,-2153.53285430893,-2019.72471466149,-2018.37294157344,4358.2582513275,4141.83451474224,4131.81774817905,-216.423736585258,-10.0167665631825,TRUE,TRUE,-0.557056725303918,3.82348477046759,0.410524206969223,0.589475793030777
1500,138,36260748,-2165.09921744219,-2042.11554419268,-2042.12786391842,4381.39097759402,4186.61617380462,4179.32759286901,-194.774803789398,-7.28858093560484,TRUE,TRUE,-0.519995605533976,3.80617842294575,0.368647039437413,0.631352960562586,-2165.09921744219,-2042.1153011522,-2041.77584872537,4381.39097759402,4186.61568772366,4178.62356248292,-194.775289870359,-7.99212524073664,TRUE,TRUE,-0.521010329149404,3.80529231881985,0.368431962741102,0.631568037258898
1500,139,36260749,-2238.03528155188,-2018.95190565008,-2017.99515745378,4527.26310581339,4140.28889671942,4131.06217993973,-386.974209093962,-9.22671677969265,TRUE,TRUE,-0.408173375789227,3.81050558251947,0.503694466164837,0.496305533835163,-2238.03528155183,-2018.95184616817,-2016.87333349689,4527.26310581328,4140.2887777556,4128.81853202596,-386.974328057682,-11.4702457296453,TRUE,TRUE,-0.407547470296362,3.81124442211805,0.503855087012836,0.496144912987164
1500,14,36260624,-2207.15190729379,-2064.07686217788,-2064.36231623861,4465.49635729721,4230.53880977501,4223.7964975094,-234.957547522199,-6.74231226561733,TRUE,TRUE,-0.419686771470561,3.80133196260333,0.402571519169316,0.597428480830683,-2207.15190729351,-2064.07636744554,-2063.69266904,4465.49635729665,4230.53782031034,4222.45720311217,-234.958536986305,-8.08061719817033,TRUE,TRUE,-0.419449603724395,3.80153316129121,0.402624611280215,0.597375388719785
1500,140,36260750,-2140.21772519773,-2026.37814400094,-2027.01275681695,4331.62799310509,4155.14137342115,4149.09737866607,-176.486619683941,-6.0439947550858,TRUE,TRUE,-0.470632192326965,3.80121196407965,0.319698423196958,0.680301576803042,-2140.21772519661,-2026.37789648748,-2027.00384576011,4331.62799310286,4155.14087839422,4149.07955655239,-176.487114708633,-6.06132184183389,TRUE,TRUE,-0.470768013755893,3.80117016232924,0.319683722469626,0.680316277530374
1500,141,36260751,-2158.08547597721,-2026.32445052926,-2024.08296655512,4367.36349466404,4155.03398647779,4143.23779814242,-212.329508186252,-11.7961883353773,TRUE,TRUE,-0.479483906044848,3.7788790001344,0.413861884333251,0.58613811566675,-2158.08547597721,-2026.32392098077,-2024.08248104745,4367.36349466404,4155.0329273808,4143.23682712708,-212.330567283243,-11.7961002537168,TRUE,TRUE,-0.479503408220412,3.77887122766997,0.413859817197745,0.586140182802256
